School Name,District Name (School),County Name (School)
Elizabeth Learning Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Elizabeth Pinkerton Middle (Elk Grove Unified),Elk Grove Unified,Sacramento
Elizabeth T. Hughbanks Elementary (Rialto Unified),Rialto Unified,San Bernardino
Elizabeth Terronez Middle (Fresno Unified),Fresno Unified,Fresno
Elizabeth Ustach Middle (Sylvan Union Elementary),Sylvan Union Elementary,Stanislaus
Elk Creek (Del Norte County Office of Education),Del Norte County Office of Education,Del Norte
Elk Creek Elementary (Stony Creek Joint Unified),Stony Creek Joint Unified,Glenn
Elk Creek Junior-Senior High (Stony Creek Joint Unified),Stony Creek Joint Unified,Glenn
Elk Grove Charter (Elk Grove Unified),Elk Grove Unified,Sacramento
Elk Grove Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Elk Grove High (Elk Grove Unified),Elk Grove Unified,Sacramento
Elk Hills Elementary (Elk Hills Elementary),Elk Hills Elementary,Kern
Elkhorn (Lodi Unified),Lodi Unified,San Joaquin
Elkhorn Elementary (North Monterey County Unified),North Monterey County Unified,Monterey
Elkhorn Village Elementary (Washington Unified),Washington Unified,Yolo
Elkins Elementary (Elkins Elementary),Elkins Elementary,Tehama
Ella Barkley High (Hamilton Unified),Hamilton Unified,Glenn
Ella Elementary (Marysville Joint Unified),Marysville Joint Unified,Yuba
Ellen Feickert Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Ellen Ochoa Learning Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ellerhorst Elementary (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Ellerth E. Larson Elementary (Lodi Unified),Lodi Unified,San Joaquin
Ellington (Duke) High (Continuation) (Los Angeles Unified),Los Angeles Unified,Los Angeles
Elliott (William F) Elementary (ABC Unified),ABC Unified,Los Angeles
Elliott Ranch Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Ellis Elementary (Sunnyvale),Sunnyvale,Santa Clara
Ellwood Elementary (Goleta Union Elementary),Goleta Union Elementary,Santa Barbara
Elm High (Washington Unified),Washington Unified,Fresno
Elm Street Elementary (Bishop Unified),Bishop Unified,Inyo
Elm Street Elementary (Oxnard),Oxnard,Ventura
Elmer Wood Elementary (Atwater Elementary),Atwater Elementary,Merced
Elmhurst Community Prep (Oakland Unified),Oakland Unified,Alameda
Elmhurst Elementary (Ventura Unified),Ventura Unified,Ventura
Elmwood Elementary (Stockton Unified),Stockton Unified,San Joaquin
Elsa Widenmann Elementary (Vallejo City Unified),Vallejo City Unified,Solano
Elsie Allen High (Santa Rosa High),Santa Rosa High,Sonoma
Elsinore Elementary (Lake Elsinore Unified),Lake Elsinore Unified,Riverside
Elsinore High (Lake Elsinore Unified),Lake Elsinore Unified,Riverside
Elsinore Middle (Lake Elsinore Unified),Lake Elsinore Unified,Riverside
Elverta Elementary (Elverta Joint Elementary),Elverta Joint Elementary,Sacramento
Elwin Elementary (Baldwin Park Unified),Baldwin Park Unified,Los Angeles
Elwood J. Keema High (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Elysian Heights Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Emblem Academy (Saugus Union),Saugus Union,Los Angeles
Emelita Academy Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Emerald Middle (Cajon Valley Union),Cajon Valley Union,San Diego
Emerson (Ralph Waldo) Elementary (Garvey Elementary),Garvey Elementary,Los Angeles
Emerson Community Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Emerson Elementary (Berkeley Unified),Berkeley Unified,Alameda
Emerson Elementary (Oakland Unified),Oakland Unified,Alameda
Emerson Elementary (Riverside Unified),Riverside Unified,Riverside
Emerson Elementary (Compton Unified),Compton Unified,Los Angeles
Emerson Middle (Bakersfield City),Bakersfield City,Kern
Emerson Middle (Pomona Unified),Pomona Unified,Los Angeles
Emerson Parkside Academy (Long Beach Unified),Long Beach Unified,Los Angeles
Emerson/Bandini Elementary (San Diego Unified),San Diego Unified,San Diego
Emery Park Elementary (Alhambra Unified),Alhambra Unified,Los Angeles
Emery Secondary (Emery Unified),Emery Unified,Alameda
Emigrant Gap Elementary (Alta-Dutch Flat Union Elementary),Alta-Dutch Flat Union Elementary,Placer
Emilie J. Ross Middle (Hughson Unified),Hughson Unified,Stanislaus
Emilie Ritchen Elementary (Oxnard),Oxnard,Ventura
Emma C. Smith Elementary (Livermore Valley Joint Unified),Livermore Valley Joint Unified,Alameda
Emma W. Shuey Elementary (Rosemead Elementary),Rosemead Elementary,Los Angeles
Emma Wilson Elementary (Chico Unified),Chico Unified,Butte
Emmerton Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Emmett S. Finley Elementary (Holtville Unified),Holtville Unified,Imperial
Emory Elementary (South Bay Union),South Bay Union,San Diego
Emperor Elementary (Temple City Unified),Temple City Unified,Los Angeles
Empire Elementary (Empire Union Elementary),Empire Union Elementary,Stanislaus
Empire Gardens Elementary (San Jose Unified),San Jose Unified,Santa Clara
Empire Oaks Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Empire Springs Charter (Helendale Elementary),Helendale Elementary,San Bernardino
Empower Charter (San Diego Unified),San Diego Unified,San Diego
Empowering Possibilities International Charter (Yolo County Office of Education),Yolo County Office of Education,Yolo
Empresa Elementary (Vista Unified),Vista Unified,San Diego
Enadia Technology Enriched Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Encanto Elementary (San Diego Unified),San Diego Unified,San Diego
Enchanted Hills Elementary (Perris Elementary),Perris Elementary,Riverside
Encina Preparatory High (San Juan Unified),San Juan Unified,Sacramento
Encinal Elementary (Live Oak Unified),Live Oak Unified,Sutter
Encinal Elementary (Menlo Park City Elementary),Menlo Park City Elementary,San Mateo
Encinal High (Alameda Unified),Alameda Unified,Alameda
Encinal Junior Jets (Alameda Unified),Alameda Unified,Alameda
Encinal Junior/Senior High (Alameda Unified),Alameda Unified,Alameda
Encinita Elementary (Rosemead Elementary),Rosemead Elementary,Los Angeles
Encino Charter Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
EnCompass Academy Elementary (Oakland Unified),Oakland Unified,Alameda
Encore High School for the Arts - Riverside (Riverside Unified),Riverside Unified,Riverside
Encore Jr./Sr. High School for the Performing and Visual Arts (Hesperia Unified),Hesperia Unified,San Bernardino
Endeavor Alternative (Ceres Unified),Ceres Unified,Stanislaus
Endeavor College Preparatory Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Endeavour Academy (Alpine Union Elementary),Alpine Union Elementary,San Diego
Endeavour Elementary (Fruitvale Elementary),Fruitvale Elementary,Kern
Endeavour Middle (Lancaster Elementary),Lancaster Elementary,Los Angeles
Endeavour School of Exploration (Victor Elementary),Victor Elementary,San Bernardino
Enders Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Engineering and Technology Academy at Esteban E. Torres High No. 3 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Enrique Camarena Jr. High (Calexico Unified),Calexico Unified,Imperial
Enslen Elementary (Modesto City Elementary),Modesto City Elementary,Stanislaus
Enterprise Alternative (Clovis Unified),Clovis Unified,Fresno
Enterprise Elementary (Eastside Union Elementary),Eastside Union Elementary,Los Angeles
Enterprise High (Shasta Union High),Shasta Union High,Shasta
Enterprise High (Kerman Unified),Kerman Unified,Fresno
Enterprise Middle (Compton Unified),Compton Unified,Los Angeles
Enterprise Plus (Shasta Union High),Shasta Union High,Shasta
Enterprise Secondary (Madera County Office of Education),Madera County Office of Education,Madera
Environmental Academy of Research Technology and Earth Sciences (Conejo Valley Unified),Conejo Valley Unified,Ventura
Environmental Charter High (Lawndale Elementary),Lawndale Elementary,Los Angeles
Environmental Charter Middle (Los Angeles County Office of Education),Los Angeles County Office of Education,Los Angeles
Environmental Charter Middle - Inglewood (Los Angeles County Office of Education),Los Angeles County Office of Education,Los Angeles
Envision Academy for Arts & Technology (Alameda County Office of Education),Alameda County Office of Education,Alameda
Epic Charter (Oakland Unified),Oakland Unified,Alameda
EPIC de Cesar Chavez (Nevada County Office of Education),Nevada County Office of Education,Nevada
Epiphany Prep Charter (San Diego Unified),San Diego Unified,San Diego
Equitas Academy Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Equitas Academy Charter #2 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Equitas Academy Charter #3 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Eric White Elementary (Selma Unified),Selma Unified,Fresno
Ericson Elementary (San Diego Unified),San Diego Unified,San Diego
Ericson Elementary (Fresno Unified),Fresno Unified,Fresno
Erle Stanley Gardner Middle (Temecula Valley Unified),Temecula Valley Unified,Riverside
Erma B. Reese Elementary (Lodi Unified),Lodi Unified,San Joaquin
Erma Duncan Polytechnical High (Fresno Unified),Fresno Unified,Fresno
Ernest Garcia Elementary (Rialto Unified),Rialto Unified,San Bernardino
Ernest Lawrence Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ernest O. Lawrence Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Ernest P. Willenberg Special Education Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ernest R. Geddes Elementary (Baldwin Park Unified),Baldwin Park Unified,Los Angeles
Ernest Righetti High (Santa Maria Joint Union High),Santa Maria Joint Union High,Santa Barbara
"Ernest S. McBride, Sr. High (Long Beach Unified)",Long Beach Unified,Los Angeles
Ernesto Galarza Elementary (San Jose Unified),San Jose Unified,Santa Clara
Ernie Pyle Elementary (Bellflower Unified),Bellflower Unified,Los Angeles
Erwin Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Escalon Charter Academy (Escalon Unified),Escalon Unified,San Joaquin
Escalon High (Escalon Unified),Escalon Unified,San Joaquin
Escalona Elementary (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,Los Angeles
Escondido Charter High (Escondido Union High),Escondido Union High,San Diego
Escondido Community Day (Escondido Union High),Escondido Union High,San Diego
Escondido Elementary (Palo Alto Unified),Palo Alto Unified,Santa Clara
Escondido High (Escondido Union High),Escondido Union High,San Diego
Escuela Popular Accelerated Family Learning (East Side Union High),East Side Union High,Santa Clara
"Escuela Popular/Center for Training and Careers, Family Learning (East Side Union High)",East Side Union High,Santa Clara
Eshelman Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Esparto Elementary (Esparto Unified),Esparto Unified,Yolo
Esparto High (Esparto Unified),Esparto Unified,Yolo
Esparto Middle (Esparto Unified),Esparto Unified,Yolo
Esperanza (Saddleback Valley Unified),Saddleback Valley Unified,Orange
Esperanza Elementary (Westside Union Elementary),Westside Union Elementary,Los Angeles
Esperanza Elementary (Oakland Unified),Oakland Unified,Alameda
Esperanza Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Esperanza High (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,Orange
Esperanza High (Cutler-Orosi Joint Unified),Cutler-Orosi Joint Unified,Tulare
Esperanza High (Continuation) (Gridley Unified),Gridley Unified,Butte
Esplanade Elementary (Orange Unified),Orange Unified,Orange
Estancia High (Newport-Mesa Unified),Newport-Mesa Unified,Orange
Esteban Torres East LA Performing Arts Magnet (Los Angeles Unified),Los Angeles Unified,Los Angeles
Esther L. Walter Elementary (Magnolia Elementary),Magnolia Elementary,Orange
Esther Lindstrom Elementary (Bellflower Unified),Bellflower Unified,Los Angeles
Estrella Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Estrellita Continuation High (Galt Joint Union High),Galt Joint Union High,Sacramento
Estudillo Elementary (San Jacinto Unified),San Jacinto Unified,Riverside
Ethan A Chase Middle (Romoland Elementary),Romoland Elementary,Riverside
Ethan B. Allen Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Ethel Dwyer Middle (Huntington Beach City Elementary),Huntington Beach City Elementary,Orange
Ethel I. Baker Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Ethel Kucera Middle (Rialto Unified),Rialto Unified,San Bernardino
Ethel M. Evans Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Ethel Phillips Elementary (Sacramento City Unified),Sacramento City Unified,Sacramento
Etiwanda Colony Elementary (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
Etiwanda Community Day (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
Etiwanda High (Chaffey Joint Union High),Chaffey Joint Union High,San Bernardino
Etiwanda Intermediate (Etiwanda Elementary),Etiwanda Elementary,San Bernardino
Etna Elementary (Scott Valley Unified),Scott Valley Unified,Siskiyou
Etna Union High (Scott Valley Unified),Scott Valley Unified,Siskiyou
Eucalyptus (Hawthorne),Hawthorne,Los Angeles
Eucalyptus Elementary (Hesperia Unified),Hesperia Unified,San Bernardino
Eucalyptus Hills Elementary (Lakeside Union Elementary),Lakeside Union Elementary,San Diego
Euclid Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Euclid Elementary (San Diego Unified),San Diego Unified,San Diego
Euclid Elementary (Ontario-Montclair),Ontario-Montclair,San Bernardino
Eugene Padan Elementary (Vacaville Unified),Vacaville Unified,Solano
Eunice Sato Academy of Math & Science (Long Beach Unified),Long Beach Unified,Los Angeles
Eureka Community (Humboldt County Office of Education),Humboldt County Office of Education,Humboldt
Eureka Senior High (Eureka City Schools),Eureka City Schools,Humboldt
EV Cain 21st Century STEM Charter (Auburn Union Elementary),Auburn Union Elementary,Placer
Evangeline Roberts Institute of Learning (San Diego Unified),San Diego Unified,San Diego
Evans Ranch Elementary (Menifee Union Elementary),Menifee Union Elementary,Riverside
Evelyn Carr Elementary (Torrance Unified),Torrance Unified,Los Angeles
Evelyn Hanshaw Middle (Modesto City Elementary),Modesto City Elementary,Stanislaus
Everest Public High (Sequoia Union High),Sequoia Union High,San Mateo
Everest Value (Los Angeles Unified),Los Angeles Unified,Los Angeles
Everett A. Rea Elementary (Newport-Mesa Unified),Newport-Mesa Unified,Orange
Everett Alvarez High (Salinas Union High),Salinas Union High,Monterey
Everett Middle (San Francisco Unified),San Francisco Unified,San Francisco
Evergreen Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Evergreen Community Day (5-8) (Evergreen Union),Evergreen Union,Tehama
Evergreen Community Day K-5 (Evergreen Union),Evergreen Union,Tehama
Evergreen Continuation (Los Angeles Unified),Los Angeles Unified,Los Angeles
Evergreen Elementary (Bakersfield City),Bakersfield City,Kern
Evergreen Elementary (East Whittier City Elementary),East Whittier City Elementary,Los Angeles
Evergreen Elementary (Evergreen Union),Evergreen Union,Tehama
Evergreen Elementary (Cotati-Rohnert Park Unified),Cotati-Rohnert Park Unified,Sonoma
Evergreen Elementary (Yreka Union Elementary),Yreka Union Elementary,Siskiyou
Evergreen Elementary (Evergreen Elementary),Evergreen Elementary,Santa Clara
Evergreen Elementary (Washington Unified),Washington Unified,Yolo
Evergreen Elementary (Walnut Valley Unified),Walnut Valley Unified,Los Angeles
Evergreen High (Yosemite Unified),Yosemite Unified,Madera
Evergreen Institute of Excellence (Evergreen Union),Evergreen Union,Tehama
Evergreen Middle (Evergreen Union),Evergreen Union,Tehama
Evergreen Middle (Washington Unified),Washington Unified,Yolo
Evergreen Valley High (East Side Union High),East Side Union High,Santa Clara
Ewing Elementary (Fresno Unified),Fresno Unified,Fresno
Excel Prep Charter (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Excel Prep Charter - IE (Nuview Union),Nuview Union,Riverside
Excelsior Charter (Victor Valley Union High),Victor Valley Union High,San Bernardino
Excelsior Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Excelsior Elementary (Eureka Union),Eureka Union,Placer
Excelsior Middle (Byron Union Elementary),Byron Union Elementary,Contra Costa
Executive Preparatory Academy of Finance (Los Angeles Unified),Los Angeles Unified,Los Angeles
Exeter Community Day (Exeter Unified),Exeter Unified,Tulare
Exeter Independent Study (Alternative) (Exeter Unified),Exeter Unified,Tulare
Exeter Union Community Day (Exeter Unified),Exeter Unified,Tulare
Exeter Union High (Exeter Unified),Exeter Unified,Tulare
Explorer Elementary (San Diego Unified),San Diego Unified,San Diego
Extera Public (Los Angeles Unified),Los Angeles Unified,Los Angeles
Extera Public School No. 2 (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ezekiel Balderas Elementary (Fresno Unified),Fresno Unified,Fresno
Ezequiel Tafoya Alvarado Academy (Madera Unified),Madera Unified,Madera
F. D. Roosevelt Elementary (Lawndale Elementary),Lawndale Elementary,Los Angeles
Fair Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fair Oaks Elementary (Oakdale Joint Unified),Oakdale Joint Unified,Stanislaus
Fair Oaks Elementary (Mt. Diablo Unified),Mt. Diablo Unified,Contra Costa
Fair Oaks Elementary (Redwood City Elementary),Redwood City Elementary,San Mateo
Fair Oaks Ranch Community (Sulphur Springs Union),Sulphur Springs Union,Los Angeles
Fair View High (Continuation) (Chico Unified),Chico Unified,Butte
Fairbanks Elementary (Twin Rivers Unified),Twin Rivers Unified,Sacramento
Fairburn Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fairfax Elementary (San Bernardino City Unified),San Bernardino City Unified,San Bernardino
Fairfax Jr. High (Fairfax Elementary),Fairfax Elementary,Kern
Fairfax Senior High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fairfield Elementary (Davis Joint Unified),Davis Joint Unified,Yolo
Fairfield High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Fairfield-Suisun Elementary Community Day (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Fairgrove Academy (Hacienda la Puente Unified),Hacienda la Puente Unified,Los Angeles
Fairgrove Elementary (Lucia Mar Unified),Lucia Mar Unified,San Luis Obispo
Fairhaven Elementary (Orange Unified),Orange Unified,Orange
Fairlands Elementary (Pleasanton Unified),Pleasanton Unified,Alameda
Fairlawn Elementary (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Fairmead Elementary (Chowchilla Elementary),Chowchilla Elementary,Madera
Fairmeadow Elementary (Palo Alto Unified),Palo Alto Unified,Santa Clara
Fairmont Charter Elementary (Vacaville Unified),Vacaville Unified,Solano
Fairmont Elementary (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,Orange
Fairmont Elementary (West Contra Costa Unified),West Contra Costa Unified,Contra Costa
Fairmont Elementary (Sanger Unified),Sanger Unified,Fresno
Fairmount Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Fairvalley High (Continuation) (Covina-Valley Unified),Covina-Valley Unified,Los Angeles
Fairview Elementary (Visalia Unified),Visalia Unified,Tulare
Fairview Elementary (Fairfield-Suisun Unified),Fairfield-Suisun Unified,Solano
Fairview Elementary (Modesto City Elementary),Modesto City Elementary,Stanislaus
Fairview Elementary (Hayward Unified),Hayward Unified,Alameda
Fairview Elementary (Orland Joint Unified),Orland Joint Unified,Glenn
Fairview Elementary (Greenfield Union),Greenfield Union,Kern
Fairview Middle (Gonzales Unified),Gonzales Unified,Monterey
Fairwood Elementary (Sunnyvale),Sunnyvale,Santa Clara
Faith Ringgold School of Arts and Science (Hayward Unified),Hayward Unified,Alameda
Fall River Community Day (Fall River Joint Unified),Fall River Joint Unified,Shasta
Fall River Elementary (Fall River Joint Unified),Fall River Joint Unified,Shasta
Fall River Elementary Community Day (Fall River Joint Unified),Fall River Joint Unified,Shasta
Fall River Junior-Senior High (Fall River Joint Unified),Fall River Joint Unified,Shasta
Fallbrook High (Fallbrook Union High),Fallbrook Union High,San Diego
Fallbrook Homeschool Academy (Fallbrook Union Elementary),Fallbrook Union Elementary,San Diego
Fallbrook Street Elementary (Fallbrook Union Elementary),Fallbrook Union Elementary,San Diego
Faller Elementary (Sierra Sands Unified),Sierra Sands Unified,Kern
Fallsvale School (Bear Valley Unified),Bear Valley Unified,San Bernardino
FAME Public Charter (Alameda County Office of Education),Alameda County Office of Education,Alameda
Family First Charter (Centinela Valley Union High),Centinela Valley Union High,Los Angeles
Family Partnership Home Study Charter (Blochman Union Elementary),Blochman Union Elementary,Santa Barbara
Family Tree Learning Center (Hemet Unified),Hemet Unified,Riverside
Fammatre Elementary (Cambrian),Cambrian,Santa Clara
Fancher Creek Elementary (Clovis Unified),Clovis Unified,Fresno
Far East County Programs (Contra Costa County Office of Education),Contra Costa County Office of Education,Contra Costa
Farallone View Elementary (Cabrillo Unified),Cabrillo Unified,San Mateo
Farb Middle (San Diego Unified),San Diego Unified,San Diego
Farmdale Elementary (Weaver Union),Weaver Union,Merced
Farmdale Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Farmersville High (Farmersville Unified),Farmersville Unified,Tulare
Farmersville Junior High (Farmersville Unified),Farmersville Unified,Tulare
Farmington Elementary (Escalon Unified),Escalon Unified,San Joaquin
Farnham Charter (Cambrian),Cambrian,Santa Clara
Farr Avenue Elementary (Escondido Union),Escondido Union,San Diego
Farragut Elementary (Culver City Unified),Culver City Unified,Los Angeles
Father Keith B. Kenny (Sacramento City Unified),Sacramento City Unified,Sacramento
Fay Elementary (San Diego Unified),San Diego Unified,San Diego
Faylane Elementary (Garden Grove Unified),Garden Grove Unified,Orange
Feaster (Mae L.) Charter (Chula Vista Elementary),Chula Vista Elementary,San Diego
Feather Falls Elementary (Feather Falls Union Elementary),Feather Falls Union Elementary,Butte
Feather River Academy (Sutter County Office of Education),Sutter County Office of Education,Sutter
Fedde (Pharis F.) Middle (ABC Unified),ABC Unified,Los Angeles
Federal Terrace Elementary (Vallejo City Unified),Vallejo City Unified,Solano
Feinstein (Dianne) Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Felicita Elementary (Escondido Union),Escondido Union,San Diego
Felicitas and Gonzalo Mendez High (Los Angeles Unified),Los Angeles Unified,Los Angeles
Felix J. Appleby Elementary (Palo Verde Unified),Palo Verde Unified,Riverside
Felton Elementary (Lennox),Lennox,Los Angeles
Fenton Academy for Social and Emotional Learning (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fenton Avenue Charter (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fenton Primary Center (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fenton STEM Academy: Elementary Center for Science Technology Engineering and Ma (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fern Bacon Middle (Sacramento City Unified),Sacramento City Unified,Sacramento
Fern Drive Elementary (Fullerton Elementary),Fullerton Elementary,Orange
Fern Elementary (Torrance Unified),Torrance Unified,Los Angeles
Fernando R. Ledesma Continuation High (El Monte Union High),El Monte Union High,Los Angeles
Fernando Rivera Intermediate (Jefferson Elementary),Jefferson Elementary,San Mateo
Fernangeles Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Ferndale Elementary (Ferndale Unified),Ferndale Unified,Humboldt
Ferndale High (Ferndale Unified),Ferndale Unified,Humboldt
Ferris Spanger Elementary (Roseville City Elementary),Roseville City Elementary,Placer
Fesler (Isaac) Junior High (Santa Maria-Bonita),Santa Maria-Bonita,Santa Barbara
Fiddyment Farm (Roseville City Elementary),Roseville City Elementary,Placer
Field (Eugene) Elementary (Pasadena Unified),Pasadena Unified,Los Angeles
Field Elementary (San Diego Unified),San Diego Unified,San Diego
Fieldbrook Elementary (Fieldbrook Elementary),Fieldbrook Elementary,Humboldt
Fiesta Gardens International Elementary (San Mateo-Foster City),San Mateo-Foster City,San Mateo
Fifteenth Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fifty-Fourth Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fifty-Ninth Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fifty-Second Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Figarden Elementary (Fresno Unified),Fresno Unified,Fresno
Figueroa Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fillmore Elementary (Stockton Unified),Stockton Unified,San Joaquin
Fillmore Middle (Fillmore Unified),Fillmore Unified,Ventura
Fillmore Senior High (Fillmore Unified),Fillmore Unified,Ventura
Fine Arts Academy (Atascadero Unified),Atascadero Unified,San Luis Obispo
Finley Elementary (Westminster),Westminster,Orange
Finney (Myrtle S.) Elementary (Chula Vista Elementary),Chula Vista Elementary,San Diego
Fipps Primary (Riverdale Joint Unified),Riverdale Joint Unified,Fresno
Firebaugh Community Day (Firebaugh-Las Deltas Unified),Firebaugh-Las Deltas Unified,Fresno
Firebaugh High (Firebaugh-Las Deltas Unified),Firebaugh-Las Deltas Unified,Fresno
Firebaugh Middle (Firebaugh-Las Deltas Unified),Firebaugh-Las Deltas Unified,Fresno
First Avenue Middle (Arcadia Unified),Arcadia Unified,Los Angeles
First Street (Western Placer Unified),Western Placer Unified,Placer
First Street Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fishburn Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Five Keys Adult School (SF Sheriff's) (San Francisco Unified),San Francisco Unified,San Francisco
Five Keys Charter (SF Sheriff's) (San Francisco Unified),San Francisco Unified,San Francisco
Five Keys Independence HS (SF Sheriff's) (San Francisco Unified),San Francisco Unified,San Francisco
Fletcher Drive Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Fletcher Elementary (San Diego Unified),San Diego Unified,San Diego
Fletcher Elementary (Orange Unified),Orange Unified,Orange
Fletcher Hills Elementary (La Mesa-Spring Valley),La Mesa-Spring Valley,San Diego
Fletcher Walker Elementary (Westwood Unified),Westwood Unified,Lassen
Flora Vista Elementary (Encinitas Union Elementary),Encinitas Union Elementary,San Diego
Florence Avenue Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Florence E. Rata (Fresno Unified),Fresno Unified,Fresno
Florence Elementary (San Diego Unified),San Diego Unified,San Diego
Florence Griffith Joyner Elementary (Los Angeles Unified),Los Angeles Unified,Los Angeles
Florence Markofer Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Florence Nightingale Middle (Los Angeles Unified),Los Angeles Unified,Los Angeles
Florin Elementary (Elk Grove Unified),Elk Grove Unified,Sacramento
Florin High (Elk Grove Unified),Elk Grove Unified,Sacramento
Flory Academy of Sciences and Technology (Moorpark Unified),Moorpark Unified,Ventura
Flournoy Elementary (Flournoy Union Elementary),Flournoy Union Elementary,Tehama
Flowery Elementary (Sonoma Valley Unified),Sonoma Valley Unified,Sonoma
Floyd A. Schelby (Merced County Office of Education),Merced County Office of Education,Merced
Floyd I. Marchus (Contra Costa County Office of Education),Contra Costa County Office of Education,Contra Costa
Floyd M. Stork Elementary (Alta Loma Elementary),Alta Loma Elementary,San Bernardino
Flying Hills Elementary (Cajon Valley Union),Cajon Valley Union,San Diego
Flynn (Leonard R.) Elementary (San Francisco Unified),San Francisco Unified,San Francisco
Folsom Cordova K-8 Community Charter (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Folsom High (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Folsom Hills Elementary (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Folsom Lake High (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Folsom Middle (Folsom-Cordova Unified),Folsom-Cordova Unified,Sacramento
Fontana A. B. Miller High (Fontana Unified),Fontana Unified,San Bernardino
Fontana High (Fontana Unified),Fontana Unified,San Bernardino
Fontana Middle (Fontana Unified),Fontana Unified,San Bernardino
Foothill Alternative High (Carpinteria Unified),Carpinteria Unified,Santa Barbara
Foothill Community Day (Newman-Crows Landing Unified),Newman-Crows Landing Unified,Stanislaus
Foothill Elementary (Corona-Norco Unified),Corona-Norco Unified,Riverside
Foothill Elementary (Sierra Unified),Sierra Unified,Fresno
Foothill Elementary (Pittsburg Unified),Pittsburg Unified,Contra Costa
Foothill Elementary (Monterey Peninsula Unified),Monterey Peninsula Unified,Monterey
